1049,Anna Maria,Kurczak,2006-08-12,Polska,Jasło,aleja Skrajna 67/47,annamaria2501kurczak@interia.pl,+48 508 276 981
1050,Leon,Betka,1995-07-27,Polska,Bielsk Podlaski,ulica Żeromskiego 79/29,leon5784betka.5784@interia.pl,+48 503 425 066
1051,Damian,Chachaj,2002-05-23,Polska,Chorzów,ul. Bolesława Krzywoustego 496,chachaj_damian6888@gmail.com,+48 515 888 636
1052,Gaja,Kloska,1984-11-30,Polska,Skarżysko-Kamienna,pl. Rynek 00,kloska-gaja@outlook.com,+48 508 566 190
1053,Angelika,Szyjka,2004-11-18,Polska,Jarocin,plac Błękitna 72,angelika.szyjka@gmail.com,+48 512 377 364
1054,Oliwier,Armata,1995-11-19,Polska,Świebodzice,pl. Podwale 618,oliwier9528armata-9528@yahoo.com,+48 784 333 805
1055,Nela,Kanik,1994-01-18,Polska,Myszków,aleja Rybacka 95,kanik.nela3830@yahoo.com,+48 579 209 191
1056,Leonard,Fojt,1987-04-08,Polska,Starogard Gdański,aleja Orla 51/56,fojt.leonard2487@interia.pl,+48 577 549 779
1057,Artur,Piechura,2004-04-07,Polska,Kłodzko,al. Brzozowa 44/59,artur4645piechura@gmail.com,+48 738 992 176
1058,Urszula,Dziewior,1994-01-24,Polska,Wieluń,ul. Brzechwy 242,dziewior.urszula3323@gmail.com,+48 531 789 845
1059,Robert,Maszota,2005-07-13,Polska,Jelenia Góra,plac Sportowa 50,maszota.robert@gmail.com,+48 889 721 368
1060,Dawid,Maciejewicz,1982-04-01,Polska,Jasło,pl. Dąbrowskiego 70,maciejewicz-dawid@wp.pl,+48 690 158 722
1061,Daniel,Gajdzik,2004-08-06,Polska,Świętochłowice,pl. Solidarnosci 816,daniel1635gajdzik@gmail.com,+48 573 182 472
1062,Wojciech,Kamieniak,1998-12-31,Polska,Nowy Dwór Mazowiecki,ulica Nałkowskiej 91/53,kamieniak.wojciech8445@outlook.com,+48 691 576 078
1063,Marcelina,Zadora,2000-07-07,Polska,Sopot,pl. Koralowa 346,marcelina.zadora@interia.pl,+48 726 303 545
1064,Filip,Jędra,1991-08-11,Polska,Bielawa,ulica Opolska 23,jedra-filip1686@interia.pl,+48 722 471 897
1065,Kazimierz,Henke,2006-12-06,Polska,Bolesławiec,ul. Grzybowa 054,henke_kazimierz5133@gmail.com,+48 729 527 058
1066,Szymon,Humeniuk,1998-01-26,Polska,Włocławek,pl. Szeroka 41,humeniuk-szymon@wp.pl,+48 795 854 153
1067,Bianka,Jankowicz,2001-10-19,Polska,Tczew,ul. Podwale 22,bianka_jankowicz@outlook.com,+48 607 739 639
1068,Józef,Nalewajek,2005-08-22,Polska,Świdnik,aleja Miodowa 88,nalewajek.jozef@yahoo.com,+48 602 850 903
1069,Natan,Nowotny,1959-05-22,Polska,Jarocin,plac Skrajna 268,nowotny_natan@yahoo.com,+48 575 030 038
1070,Fryderyk,Aleksandrzak,2000-08-14,Polska,Częstochowa,ulica Kalinowa 16/56,fryderyk4688aleksandrzak@gmail.com,+48 735 988 265
1071,Sara,Leśny,2004-09-12,Polska,Starogard Gdański,pl. Jasna 37/78,sara8639lesny-8639@gmail.com,+48 733 790 481
1072,Ida,Skomra,1983-04-23,Polska,Toruń,al. Słonecznikowa 754,ida3978skomra.3978@wp.pl,+48 535 723 288
1073,Kazimierz,Dudkowiak,2003-08-28,Polska,Wodzisław Śląski,plac Konwaliowa 460,dudkowiak-kazimierz959@gmail.com,+48 32 030 82 51
1074,Elżbieta,Halama,2002-05-02,Polska,Pszczyna,ul. Młyńska 46/23,halama-elzbieta@outlook.com,+48 572 611 635
1075,Dorota,Bodziony,2004-04-15,Polska,Starachowice,al. Śląska 07/15,bodziony.dorota@interia.pl,+48 509 792 403
1076,Jacek,Burchardt,1968-12-16,Polska,Świecie,aleja Kossaka 35/46,jacek8384burchardt@outlook.com,+48 608 550 773
1077,Hubert,Hutnik,1999-01-02,Polska,Ostrów Mazowiecka,plac Żabia 80,hubert-hutnik@gmail.com,+48 883 442 035
1078,Stefan,Kaja,2000-01-23,Polska,Łowicz,pl. Słowicza 09/09,kaja_stefan@interia.pl,+48 664 573 781
1079,Tobiasz,Kłysz,1994-09-10,Polska,Koszalin,ul. Podgórna 89,kysz.tobiasz857@yahoo.com,+48 888 797 963
1080,Nicole,Poniedziałek,2004-02-05,Polska,Białogard,plac Jeżynowa 28,nicole_poniedziaek@outlook.com,+48 22 095 64 51
1081,Antoni,Graboś,2001-01-10,Polska,Piła,ulica Wybickiego 385,antoni1559grabos@yahoo.com,+48 516 594 047
1082,Olga,Haremza,2004-10-29,Polska,Głogów,aleja Młyńska 23,olga.haremza@gmail.com,+48 739 010 301
1083,Alex,Krajniak,1997-10-11,Polska,Legnica,pl. Agrestowa 590,alex-krajniak@outlook.com,+48 668 022 243
1084,Kaja,Mierzwiak,1996-10-07,Polska,Warszawa,pl. Sosnowa 312,kaja1897mierzwiak@gmail.com,+48 725 347 194
1085,Julianna,Anders,1994-03-29,Polska,Ełk,ul. Poznańska 34/94,anders_julianna5040@wp.pl,+48 793 306 400
1086,Ksawery,Bździuch,2003-12-28,Polska,Bełchatów,aleja Wyszyńskiego 85/90,ksawery-bzdziuch@interia.pl,+48 735 105 610
1087,Jerzy,Hinca,1998-06-06,Polska,Mysłowice,plac Rajska 11,jerzy1381hinca@yahoo.com,+48 693 852 378
1088,Dorota,Rapa,2000-05-16,Polska,Pszczyna,ul. Widok 50,rapa_dorota4492@yahoo.com,+48 663 267 044
1089,Anastazja,Nazar,2005-10-01,Polska,Elbląg,al. Boczna 72/45,nazar-anastazja2304@yahoo.com,+48 503 686 017
1090,Oskar,Mainka,1987-09-23,Polska,Rumia,ulica Niecała 62/15,oskar2885mainka_2885@gmail.com,+48 576 578 737
1091,Adrian,Witan,2003-11-30,Polska,Kościerzyna,aleja Kielecka 28/78,witan_adrian@wp.pl,+48 32 454 54 98
1092,Damian,Czesak,1988-02-27,Polska,Otwock,pl. Gajowa 485,czesak_damian6936@gmail.com,+48 532 257 432
1093,Nela,Bors,2006-05-21,Polska,Nowa Sól,ul. Klasztorna 27/16,bors_nela@interia.pl,+48 605 005 247
1094,Arkadiusz,Fąferek,1980-05-30,Polska,Jaworzno,ulica Lipowa 191,arkadiusz9332faferek@interia.pl,+48 736 178 733
1095,Urszula,Kosałka,1986-03-25,Polska,Tomaszów Mazowiecki,pl. Nowa 37,kosaka-urszula@gmail.com,+48 575 882 605
1096,Alex,Święs,2003-02-04,Polska,Elbląg,aleja Przemysłowa 59/83,swies_alex5318@wp.pl,+48 693 059 269
1097,Olgierd,Ciołczyk,2004-03-24,Polska,Elbląg,plac Majowa 86/17,olgierd7494cioczyk.7494@wp.pl,+48 513 070 068
1098,Elżbieta,Janka,1998-03-31,Polska,Kętrzyn,aleja Browarna 04,elzbieta.janka@wp.pl,+48 536 232 058
1099,Tobiasz,Bruzda,1993-05-02,Polska,Tczew,ul. Brzechwy 44/72,tobiasz_bruzda@gmail.com,+48 736 322 972
